Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Part 1 Works by Alice Munro; Books (novel and short stores), audio-visual material, and manuscripts; Novel","Thacker, Robert","Part 1: Works By Alice Munroe",,="920802680",,"5",,"355","1","ABCMA05AMP1000005004001001",,"Toronto, Ontario : ECW Press",,"MUNRO, Alice; MUNRO, Alice -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,"https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA05AMP1000005004001001&site=ehost-live&scope=site"
"Part 1 Works by Anne Hébert; Books (poetry, novels, novellas and short stories, drama, and literary criticism), film scenarios and collaborations, audio-visual material, radio work, and manuscripts; Novels","Russell, D.W.","Part 1: Works By Anne Hebert",,="0920763111; 092076312X",,"7",,"119","2","ABCMA07AHP1000007002001002",,"Toronto, Ontario : ECW Press",,"HEBERT, Anne; HEBERT, Anne -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,"https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA07AHP1000007002001002&site=ehost-live&scope=site"
"Part 1 Works By Earle Birney; Books; Novels","Noel-Bentley, Peter","Part 1: Works By Earle Birney",,="920802524",,"4",,"23","1","ABCMA04EBP1000004001001002",,"Toronto, Ontario : ECW Press",,"BIRNEY, Earle; BIRNEY, Earle -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,"https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA04EBP1000004001001002&site=ehost-live&scope=site"
"Part 1 Works By Ernest Buckler; Books and manuscripts; Novels","Orange, John","Part 1: Works By Ernest Buckler",,="920802230",,"3",,"16","1","ABCMA03EBP1000003001001001",,"Toronto, Ontario : ECW Press",,"BUCKLER, Ernest; BUCKLER, Ernest -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,"https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA03EBP1000003001001001&site=ehost-live&scope=site"
"Part 1 Works by Ethel Wilson; Books (novels and short stories), audio material, and manuscripts; Novels","McComb, Bonnie Martyn","Part 1: Works By Ethel Wilson",,="920802680",,"5",,"416","2","ABCMA05EWP1000005005001001",,"Toronto, Ontario : ECW Press",,"WILSON, Ethel; WILSON, Ethel -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,"https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA05EWP1000005005001001&site=ehost-live&scope=site"
"Part 1 Works by Gabrielle Roy; Books; Novels","Socken, Paul","Part 1: Works By Gabrielle Roy",,="920802028",,"1",,"215","2","ABCMA01GRP1000001005001001",,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,"https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP1000001005001001&site=ehost-live&scope=site"
"Part 1 Works by Hugh Hood; Books (novels, short stories, sketches, non-fiction, and criticism) and manuscripts; Novels","Struthers, J.R. (Tim)","Part 1: Works By Hugh Hood",,="920802680",,"5",,"233","1","ABCMA05HHP1000005003001001",,"Toronto, Ontario : ECW Press",,"HOOD, Hugh; HOOD, Hugh -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,"https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA05HHP1000005003001001&site=ehost-live&scope=site"
"Part 1 Works by Margaret Atwood; Books and manuscripts; Fiction","Horne, Alan J.","Part 1: Works by Margaret Atwood",,="920802028",,"1",,"15","2","ABCMA01MAP1000001001001001",,"Toronto, Ontario : ECW Press",,"ATWOOD, Margaret; ATWOOD, Margaret -- Fiction; ATWOOD, Margaret; ATWOOD, Margaret -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,"https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01MAP1000001001001001&site=ehost-live&scope=site"
"Part 1 Works by Margaret Laurence; Books; Novels","Warwick, Susan J.","Part 1: Works by Margaret Lawrence",,="920802028",,"1",,"50","2","ABCMA01MLP1000001002001001",,"Toronto, Ontario : ECW Press",,"LAURENCE, Margaret; LAURENCE, Margaret -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,"https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01MLP1000001002001001&site=ehost-live&scope=site"
"Part 1 Works by Marian Engel (nee: Passmore); Books (novels, short stories, children's books, criticism, and miscellaneous), editorial work, audio-visual material, and manuscripts; Novels","Wengle, Annette","Part 1: Works By Marian Engel (nee: Passmore)",,="0920763111; 092076312X",,"7",,"13","2","ABCMA07MEP1000007001001001",,"Toronto, Ontario : ECW Press",,"ENGEL, Marian; ENGEL, Marian -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,"https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA07MEP1000007001001001&site=ehost-live&scope=site"
