Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
Gabrielle Roy An Annotated Bibliography; Introduction,"Socken, Paul",Part 1: Works By Gabrielle Roy,,920802028,,1,,214,2,ABCMA01GRP1000001005000000,,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP1000001005000000&site=ehost-live&scope=site
Part 1 Works by Gabrielle Roy; Books; Novels,"Socken, Paul",Part 1: Works By Gabrielle Roy,,920802028,,1,,215,2,ABCMA01GRP1000001005001001,,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP1000001005001001&site=ehost-live&scope=site
Part 1 Works by Gabrielle Roy; Books; Short stories,"Socken, Paul",Part 1: Works By Gabrielle Roy,,920802028,,1,,216,3,ABCMA01GRP1000001005001002,,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP1000001005001002&site=ehost-live&scope=site
Part 1 Works by Gabrielle Roy; Books; Children's story,"Socken, Paul",Part 1: Works By Gabrielle Roy,,920802028,,1,,218,1,ABCMA01GRP1000001005001003,,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP1000001005001003&site=ehost-live&scope=site
"Part 1 Works by Gabrielle Roy; Contributions to periodicals, books, and anthologies; Short stories -- nouvelles, recits","Socken, Paul",Part 1: Works By Gabrielle Roy,,920802028,,1,,219,3,ABCMA01GRP1000001005002001,,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP1000001005002001&site=ehost-live&scope=site
"Part 1 Works by Gabrielle Roy; Contributions to periodicals, books, and anthologies; Essays","Socken, Paul",Part 1: Works By Gabrielle Roy,,920802028,,1,,221,1,ABCMA01GRP1000001005002002,,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP1000001005002002&site=ehost-live&scope=site
"Part 1 Works by Gabrielle Roy; Contributions to periodicals, books, and anthologies; Journalism","Socken, Paul",Part 1: Works By Gabrielle Roy,,920802028,,1,,221,4,ABCMA01GRP1000001005002003,,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP1000001005002003&site=ehost-live&scope=site
"Part 1 Works by Gabrielle Roy; Contributions to periodicals, books, and anthologies; Selected anthology contributions","Socken, Paul",Part 1: Works By Gabrielle Roy,,920802028,,1,,224,2,ABCMA01GRP1000001005002004,,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP1000001005002004&site=ehost-live&scope=site
"Part2 Works on Gabrielle Roy; Books, selected articles and sections of books, theses and dissertations, interviews, awards and honours; Books","Socken, Paul",Part 2: Works On Gabrielle Roy,,920802028,,1,,226,3,ABCMA01GRP2000001005003001,,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Criticism & interpretation -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP2000001005003001&site=ehost-live&scope=site
"Part2 Works on Gabrielle Roy; Books, selected articles and sections of books, theses and dissertations, interviews, awards and honours; Selected articles and sections of books","Socken, Paul",Part 2: Works On Gabrielle Roy,,920802028,,1,,228,12,ABCMA01GRP2000001005003002,,"Toronto, Ontario : ECW Press",,"ROY, Gabrielle; ROY, Gabrielle -- Criticism & interpretation -- Bibliography; CANADIAN literature -- Bibliography; FRENCH-CANADIAN literature -- Bibliography",,,https://lib-ezproxy.concordia.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cjh&AN=ABCMA01GRP2000001005003002&site=ehost-live&scope=site
